[weather, news]	查看汕头天气 讯飞语音我想知道山东省东营市今天的新闻。
[chat]	是的咯还是笨笨最好 那你为什么不修
[radio, cookbook]	调频到fm八九八 酸菜鱼怎么做啊
[video, cookbook]	狄仁杰之通天帝国视频 怎么做水煮鱼店？
[lottery, video]	帮我查一下2013年2月8日开奖的15选5中奖号码 最近有什么好电影吗？
[news, cookbook]	今天温州有什么新闻。 四喜丸子怎么做？
[chat, health]	你在什么地方 梅毒怎么治疗？
[train, flight]	洛阳至西安的火车 八月十一日从厦门飞往上海的航班
[chat, epg]	这么多回答不了的问题 看中央七频道讲武堂节目
[message, epg]	给张大萍发短信 环球旅游明天有演我爱饭米粒
[cookbook, video]	怎么炒南瓜？ 中国最强音
[cookbook, radio]	红烧排骨怎么做？ 帮我调频92.4中国国际广播电台行不行？
[riddle, chat]	来一个灯谜，你。 你会下象棋吗
[chat, video]	这么装逼 美国热门的恐怖电影
[chat, cookbook]	会英文吗 啥婆豆腐的制作方法
[translation]	你怎么了英文怎么讲 很高兴见到你英文怎么讲
[video, news]	满秋 艳照门事件。
[map, flight]	怎么去泉城广场 到北京的飞机。
[news, message]	我也听新闻。 给严巧发短信
[chat, website]	我去烟台有高铁吗 四川新闻网
[poetry, map]	我心照明月后面一句是什么？ 从这里到市中心怎么走
[video, datetime]	我想看变形金刚三 现在星期几
[app, cookbook]	打开会说话的汤姆猫 鱼香肉丝肉怎么做？
[flight, music]	帮我查一下广州到长沙的航班 我想听只对你有感觉
[contacts, chat]	潘靖的电话是多少 白天干什么
[stock, poetry]	五零零零零五的市值高不高 给我背一首满江红。
[music, message]	搜索歌曲公路 给靖哥哥发短信说我不回来吃饭了
[riddle, train]	讲个脑筋急转弯，我，我格，你是谁？ 查询昆明到合肥的火车
[weather, novel]	合肥明天的湿度如何 我要看古言小说
[poetry]	请念一首毛泽东诗词。 唐诗登高。
[chat, video]	那你现在可以干啥 当婆婆遇上妈
[poetry, translation]	长风吹月渡海来下一句是什么？ 今天是个好日子的英文怎么讲
[email, cookbook]	我要答复邮件 红烧肉怎么做？嗯？
[telephone, cookbook]	打电话给阿敏 冷面的做法。
[cookbook, chat]	烤鸭，啊！ 笨笨我不喜欢你这个名字你可以给自己换一个么
[cookbook]	红枣鸡汤怎么煲？ 搜索，西米露的做法。
[email, riddle]	我要全部回复 给我讲一个谜语吧！
[schedule, chat]	给我定一个8:10的闹钟。 卧槽一个答非所问的AI有什么用
[chat, stock]	什么时候咱俩见一面吧 搜索中国移动股票
[video, chat]	搜索电影晚秋 你知道叶哲是谁吗
[flight, app]	上海到青岛的飞机票 打开天天动听播放站你名下
[website, calc]	把我打开淘宝的网页 3的平方除以2的立方的商的倒数
[stock, translation]	上海宝钢股票 帮我翻译一下番茄
[cookbook, telephone]	红烧猪脚怎么做啊？ 给王涛打电话
[cookbook, app]	红烧猪脚 金山词霸
[telephone, novel]	呼叫徐媛 我要看现代重生小说
[chat, email]	你有什么梦想啊 我想要转发这封邮件
[music, video]	唱一首简单爱 美国恐怖电影
[telephone, message]	幺三八五幺二九二四幺四 给靖哥哥发短信说我不回来吃饭了
[music, chat]	哦来一首青花瓷 恋爱着东西很玄虚，谁都说不准
[news, message]	艳照门事件。 发短信给王亮说死人你在干什么呢
[website, flight]	新蛋网 到北京的飞机。
[poetry, cookbook]	我要听李白的诗。 你给我讲讲红烧肉的做法。
[translation, music]	当前不再呼叫英语怎么说 我想听只对你有感觉
[chat, calc]	什么时候去 2的2次方
[poetry, chat]	帮我来一首兰陵王。 什么太美了
[poetry, telephone]	来首宋词。 打电话给摩托老师
[chat]	吃完饭之后干什么 ﻿你好慢吗！
[flight, video]	八月十号从重庆到武汉的航班 看电影啊
[telephone, weather]	打电话给潘立长 明天赣州什么天气
[stock, datetime]	通宝能源股票 现在星期几
[app, chat]	嗯打开相机 我可以帮你吗
[novel, video]	赶紧推荐一部小说。 我想看爱情闯进门
[video, chat]	当婆婆遇上妈 什么太美了
[cookbook]	干豆角怎么烧？ 嗯，知道红烧肉怎么做？
[train, epg]	上饶到南昌的火车票 安徽卫视今天晚上放什么？
[chat, cookbook]	结婚了吗 麻辣烫做法。
[stock, chat]	永高股份的股票 丰田车在哪里生产的？
[chat, translation]	你再给我推荐几本书 茶用英语怎么说呀
[epg, news]	哪个频道演爸爸去哪儿 看一下今天早上新闻。
[video, tvchannel]	我想看搞定岳父大人电影 江苏影视
[lottery, email]	大乐透的开奖情况 我要查看邮件
[epg, chat]	央视综合频道昨晚的节目单 你能安慰我吗
[train, calc]	帮我查一下临海到上海的火车 3的平方除以2的立方的商的倒数
[app, flight]	音乐播放器 晋江到武汉的航班
[epg, chat]	安徽卫视今天晚上放什么？ 刘一佳是谁
[chat, video]	叫你笨笨你敢答应么 爱情公约
[chat, video]	人们夸奖谁 花开半夏
[cookbook, email]	还路阻少茶汤的做法。 我想全部回应
[stock, video]	查询濮耐股份的股票 胜女的代价电视剧
[train, chat]	去广州的火车票 怎么这么多鸡汤
[app, video]	把我打开UC浏览器 请帮我查找一下奥特曼大电影
[video, music]	陈真 我想听蔡依林的倒带这首歌
[cookbook, chat]	牛肉的做法。 你会唱歌吗
[telephone, riddle]	给王涛打电话 查个字谜。
[chat, music]	小是什么 我想听求佛。
[chat, weather]	唉你叫什么名字 天气好不好啊
[contacts, tvchannel]	新建联系人王义勇幺三八六零零幺九四九零 北京财经
[cookbook, website]	意大利面。 我要打开百度
[epg, chat]	上海东方卫视现在在播放什么？ 是说我好吗我逗你玩儿
[epg, video]	哪个台在放甄嬛 电影中国合伙人
[cookbook, app]	四喜丸子怎么做？ 打开手机QQ恩
[chat, map]	你信什么 昆山大润发在哪里
[telephone, flight]	打电话陈雪莉 查一下济南到成都的航班
[schedule, news]	设定闹钟。 听新闻，姨。
[map, chat]	沿途有没有加油站 can you speak English?
[match, chat]	查询中超赛事。 人们夸奖谁
[match, translation]	恒大山东鲁能比分是多少？ 翻译慷慨激昂
[cookbook, chat]	鱼香肉丝肉怎么做？ 单个词是什么情况
[epg, stock]	焦点访谈什么时候播 查寻天龙集团的股票
[app, poetry]	打开天天动听并开始播放音乐 何以解忧的下一句是什么？
[app, weather]	正韵打开相机 明天赣州什么天气
[stock, schedule]	伊利股份 什么时候和张三去步行街
[train, translation]	北京到镇江的火车 晚安的英语
[news, translation]	我想听足球类新闻 小说英语怎么说
[schedule, video]	听到没有，提醒我晚上有约会记得穿正装 电视剧火凤凰
[chat, stock]	小朋友的妈妈是谁 零零二三零六的股票
[cookbook, video]	土豆烧肉。 看空霸
[video, datetime]	我想看张艺谋导演的电影 还有多少天过年
[chat, cookbook]	那你为什么不修 冷面的做法。
[tvchannel, video]	央视综合高清 狸猫换太子
[video, cookbook]	金瓶梅 做南瓜饭
[stock, app]	招商银行港股的股价 ﻿打开熊猫看书
[video, chat]	猫眼三姐妹 你是詹黑吗
[app, chat]	钛备份 我去烟台有高铁吗
[chat]	今天天气怎么 出来约炮吗
[chat, riddle]	是不是只要我说话你就说话 让我猜个谜语。
[translation, chat]	香蕉用英语怎么讲 为什么要想你
[video, chat]	搜索国外大片 唱一下你是谁
[cookbook, bus]	红烧肉怎么做？嗯？ 长沙到怀化的汽车。
[email, poetry]	替我答复这条邮件 月咏牡丹的下一句，是什么？
[cookbook, video]	基尾虾怎么做？ 贺岁片
[cookbook, radio]	教我做馒头。 调幅am六百二十八
[epg, music]	电视台在播什么节目 我想听周杰伦的菊花台
[epg, stock]	环球旅游明天有演我爱饭米粒 中国银行股票怎么样
[news, weather]	看看有什么好新闻 武汉的明天天气
[chat, map]	嘿干嘛呢 从新加坡花园怎么去宁溪路
[cinemas, music]	附近电影院。 播放断点
[chat, cookbook]	秋娃娃写信给谁 披萨的做法
[cookbook, tvchannel]	鸡怎么做才好吃？ 老故事
[weather, chat]	苍溪的天气 你不是人吧我怎么觉得你是人呢
[app, chat]	打开uc浏览器 这是啥啊
[video, datetime]	我要当八路军 哪天清明节
[cookbook]	排骨堡汤的做法。 福寿鱼做法。
[epg, cookbook]	昨天晚上湖南卫视演什么 怎么做卤猪脚
[translation, poetry]	早点死英文怎么翻译 搜索古诗绝句。
[map, epg]	到步行街不走高架的路线是哪条 我昨天晚上的今日关注
[chat]	你不下去么 你是微软小冰吗
[music, cookbook]	来首快乐崇拜 怎么做水煮鱼店？
[cookbook, poetry]	松菇鸡汤的做法。 你给我背一首白居易的诗。
[riddle, epg]	脑筋急转弯，孙。 今晚安徽卫视有什么节目
[chat]	我也是总是困怎么办 怀化吃什么
[epg, chat]	六台有什么节目 你喜欢老师吗
[epg, chat]	哦，安徽卫视今晚放什么节目？ 你是猪还是牛呀
[map, telephone]	从这里到市中心怎么走 呼叫广岁
[cookbook]	可乐鸡翅怎么做呀晚点告诉我。 黑菜扣肉的做法告诉我一下啊！
[news, flight]	最新的新闻播报一下 查询一下明天广州到武汉的航班
[poetry, stock]	那就来一首李白的诗词吗？ 查询三一重工股票
[lottery, tvchannel]	帮我查一下今天开奖的15选5 c c t v法语频道
[telephone, health]	打电话给小女儿 失眠怎么办呀
[cookbook]	怎么做炸鸡腿？ 凉面。
[chat]	那你告诉我你几岁才好交朋友 你出生在哪
[flight, chat]	7月25号去上海的航班。 怎么教你变聪明
[message, chat]	发短信给刘文说明天下午五点有聚会 你怎么知道呢
[match, chat]	江苏舜天队这个星期的比赛时间给我找出来 哪个倒霉孩子给你起这个名儿
[app, website]	打开qq找杨佳艺 新浪汽车
[tvchannel, schedule]	CCTV四套 听到没有，提醒我晚上有约会记得穿正装
[cookbook, map]	炸馒头片 从我这里到科大讯飞走高速路线
[calc, chat]	你知不知道三十四加六十五等于多少 聊些什么呢
[telephone, chat]	打电话给郑艺红 现在在哪
[email, poetry]	我想要转发这条邮件 来一首唐诗吗？
[news, cookbook]	看今天的新闻。 孙翠鱼怎么做？
[tvchannel, message]	换江苏卫视 把王建春的电话号码发给张学政
[cookbook, translation]	凉拌海带 茶用英语怎么说呀
[website, video]	幻剑书盟 地心历险记二
[calc, app]	4乘6乘七再除以二 正韵打开相机
[chat, website]	干嘛去 摩尔勇士
[telephone, cookbook]	给高兴打电话 草虾尾怎样做。
[video, telephone]	智取威虎山 给金华打电话
[schedule, cinemas]	明早8:10叫醒我。 电影院有什么电影？
[chat, message]	有什么钱 给严巧发短信
[chat]	你是什么意思呀 我咋不知道这事儿呢啊明星啊之心知肚明啥意思
[video, music]	太阳第九集 来首我的未来不是梦
[chat, poetry]	你认识siri吗 来一首唐诗吗？
[translation]	西红柿用英语怎么说 桔子英文怎么说
[poetry, telephone]	那你背首唐诗给我听。 拨打陈艾电话
[epg, stock]	给我看看什么时候有播盛夏晚晴天 章源钨业
[datetime, epg]	元宵节还有几个星期 搜一下CCTV74月15号播出新编辑部的故事呢
[cookbook, poetry]	鸽子，怎么做最好吃？ 查一首古诗，武林春。
[health, tvchannel]	给我查一下，乳腺增生怎么治疗？ 浙江台
[cookbook]	星光做西红柿炒鸡蛋呢！ 肉肉怎么腌制？
[cookbook, stock]	鸭蛋怎么腌？ 青岛海信股票
[map, weather]	帮我找到去安徽黄山的路 广州的天气如何
[app, health]	opera浏览器 胃溃疡。
[train, chat]	南京到厦门的火车票 这个没什么吧
[cookbook, tvchannel]	欧树的叶子怎么炒？ 高清深圳台
[email, chat]	我要查看邮件 你是不是爱上别人了
[message, app]	发短信给幺五八三七五幺幺幺四幺 百度百科
[riddle]	你会猜谜语吗？ 讲一个谜语，啊，你，哦。
[chat, epg]	诗中共出现了几种颜色 今天什么好看电影？
[chat, cookbook]	你能识别语音吗 狗肉怎么做？
[chat, match]	汪意发是谁 中超比赛时间多少啊？
[website, novel]	打开三星首页 我要看游戏异界小说
[video, stock]	香港杜琪峰导演的喜剧孤男寡女 零零二三零六的股票
[message, calc]	发短信给张三说“画皮2在哪个台播出” 十二与32的积是多少
[video, cookbook]	狸猫换太子 西红柿炒蛋怎么煮？
[telephone, bus]	打电话给卢静 合肥到上海可以到哪坐车？
[health, poetry]	甲亢怎么办？ 搜索兰陵王。
[video, lottery]	推理动漫 查七乐彩开奖结果
[map, video]	去常州武进路线 李瑞英主持的最新的新闻节目
[chat]	什么理由 不多不要紧都会什么
[map, chat]	合肥的大润发在哪 谁傻
[calc, chat]	4的2次方根 刘一佳是谁
[schedule, tvchannel]	清空提醒 我看呀中央五台
[match, weather]	北京国安5月23号比赛和谁踢 武汉的明天天气
[news, stock]	帮我搜索一下今天的新闻 蓝鹰股票
[epg, cookbook]	帮我查一下今晚中年中央六台放什么电影？ 陈醋排骨的做法。
[telephone, website]	呼叫广岁 我想上网易
[cookbook]	做南瓜饭 做红酒怎么做啊？
[app, video]	打开酷狗并随机播放 最美的时光
[video, cookbook]	我是特种兵二 土豆粉怎么做？
[epg, website]	咱们结婚吧什么时候播出 现在我也想上新浪网了
[weather, cookbook]	丽水的天气怎么样 凉拌菜
[video, music]	电影私人定制 我想听想唱就唱
[telephone, chat]	你给朴叔打电话 你咋知道
[music, novel]	我想听情花开这首歌 我要看魔法神话小说
[news, chat]	今天的新闻，欲 哪去
[stock, cinemas]	我想看一下科大讯飞的股票 搜索合肥左岸国际电影城。
[website, novel]	浏览一下百度 我要看唐家三少写的玄幻小说绝世唐门
[chat, message]	你萌吗 给张金波发短消息今天中午一起吃饭
[message, tvchannel]	发信息给熊伟 调到新疆综艺
[message, calc]	发信息给苏建江 45的三次方
[chat, email]	你认识xx吗 给我写一个新邮件
[health, weather]	肾炎需要注意什么？ 查看汕头天气
[video, chat]	我想看珍珠港 谁骂你
[cookbook, chat]	鱼香肉丝，怎么做？不？ 你知道叶哲是谁吗
[cookbook, tvchannel]	搜索，西米露的做法。 女性时尚
[chat]	你怎么总是失误 什么理由
[stock, app]	六零零零三六昨天的涨跌幅情况 搜索京东商城
[chat, map]	宝宝你这是在卖萌吗 广东省英德在哪里
[epg, chat]	央视三台现在播放什么节目 我女儿想去哪里
[chat, news]	吃药了吗 今天有什么新闻呢。
[stock]	零零二三零六的股票 搜索中国移动的股市行情
[stock, chat]	伊利股份股票 怎么找女朋友
[chat, bus]	还是笨笨的 从聊城到东营的车。
[radio, tvchannel]	调频fm九十七点一 央视综合高清
[cookbook, chat]	水饺的做法。 我女儿想去哪里
[poetry, app]	查一首古诗，武林春。 打开相机我想你
[calc, flight]	23减去根号4 帮我订一张杭州到上海的机票
[video, flight]	刑侦电视剧 到武汉的航班
[flight, tvchannel]	明天去桂林的航班。 高清江苏
[video, music]	女子特警队之火凤凰 唱一首简单爱
[contacts, weather]	把张玉娟的手机号码发送给吴伟 查一下绵阳的天气预报
[video, weather]	看空霸 临沂的天气
[cookbook, chat]	怎样蒸排骨最好吃的。 你是男生还是女生
[stock, weather]	五八零零二二的市盈率是多少 今天天气冷吗
[cookbook, translation]	请问意大利面怎么做 一千五英语怎么说
[epg, bus]	熊出没是几点开始播放。 九江到景德镇的汽车。
[telephone, app]	呼叫a 二小姐 搜索京东商城
[chat, health]	你们什么搞笑剧 得了艾滋病怎么办
[telephone, poetry]	拨打陈艾电话 李白的静夜思怎么读？
[website, match]	上美空网 北京国安5月23号比赛和谁踢
[video, telephone]	读心专家 给王涛打电话
[datetime, cookbook]	哪天清明节 鱼要怎么煮才好吃
[bus, health]	宁波到岳阳的汽车。 湿疹怎么处理？
[weather, epg]	保定天气 今晚有什么节目啊？
[cookbook, epg]	酸菜鱼的做法，妈。 上周六发现之旅有演星跳水立方呢
[website, flight]	我想上网易 明天去深圳的飞机
[chat, video]	说说吗 2013年的警匪电视剧
[weather, chat]	明天泸州天气如何 在哪里出门右转
[chat, email]	能安慰安慰我吗 我要写条新邮件
[chat, health]	你知道我的名字吗 甲亢。
[cookbook, email]	自演艺，羊肉怎么做？ 替我打开新邮件
[cookbook, tvchannel]	肉肉怎么腌制？ 海南旅游卫视
[train, video]	安阳到郑州的火车 金瓶梅
[radio, flight]	本省农村广播 明天珠海到青岛的航班
[weather, video]	呼和浩特的天气怎么样呢 风车第十五集
[music, app]	我想听水墨丹青这首歌 打开酷狗并随机播放
[novel, app]	最近好看的小说 国际象棋开局
[chat, telephone]	你是讲故事呢吗你是报幕呢吧 四八七三一六六
[cookbook, video]	如何煮牛肉饭。 刘诗诗主演过的电影
[map, video]	讯飞语点我现在在哪里 苍狼
[video, cookbook]	知青 烤牛排怎么做？
[website, chat]	开启雅虎 什么评论呀
[cookbook, translation]	怎么做饭好吃？ 我喜欢亚楠用英语怎么说
[poetry, chat]	来一首白居易的长恨歌 你知道我几岁
[chat, cookbook]	现在不是这个时候大好吗我的大还有没有什么时光网 我想知道皮蛋瘦肉粥是怎么做的
[health, stock]	如何治疗颈椎病。 章源钨业
[cinemas, weather]	苏电影我们都是坏孩子。 查一下绵阳的天气预报
[flight, message]	厦门到上海的机票 发信息给学超
[train, tvchannel]	查看滁州到南京的火车票 我看呀中央五台
[music, weather]	找一首歌叫斑马斑马 巴中的天气
[cookbook, chat]	帮我查一下红烧肉的做法 我在韩国你在哪里
[health, lottery]	发烧好吗？ 大乐透的开奖情况
[epg]	我要看湖南卫视快乐大本营 今天什么好看电影？
[news, message]	今天的新闻有什么？ 给原波发短信
[stock, chat]	南钢 怎么不懂讲晚安呢
[translation, telephone]	翻译李淼 打石宝电话
[translation, cookbook]	很高兴认识你英语怎么说啊 如何做煎饼。
[poetry, translation]	来首唐诗小池 福尔摩探案急翻译成英文
[datetime, news]	今天农历是多少 我想听昨天晚上的新闻。
[flight, video]	汕头到重庆的航班 看空霸
[map, poetry]	昆山大润发在哪里 朗读游子吟。
[poetry, chat]	杜甫的诗。 那你为什么不修
[video, calc]	我想看大武当电影 十二与32的积是多少
[map, weather]	到薛城区怎么走 舒城的天气
[health, tvchannel]	脑瘫 哦我想看中央一台
[chat, message]	你是不是呆萌啊 发短信给王亮说死人你在干什么呢
[weather, flight]	奥克兰的天气 搜索武汉到南京的机票
[cinemas, radio]	查找卢米埃银泰电影院有播放什么好看的电影吗 调频fm九十七点一
[message, train]	给黄杠发短信 帮我查一下广州到深圳的火车
[weather, chat]	二月一日柳州的天气 恋爱着东西很玄虚，谁都说不准
[chat, match]	你认识宫庆红么 国足最新赛程。
[weather, website]	青阳天气如何 上山居网
[music, app]	播放田园的歌 钛备份
[chat, weather]	你好像没理解我我真的在倒时差有什么可以让我睡觉的方法么 宁波天气情况
[cookbook, flight]	阳澄湖大闸蟹的做法。 请查询一下深圳飞往上海的航班
[flight]	查询广州到海南的航班 大连飞往上海的航班
[poetry, news]	读句诗来听听。 有什么重大新闻
[cookbook, weather]	胖鱼头怎么烧？ 鄱阳县的天气
[novel, stock]	可以找一下浪漫满屋的小说 截止目前银鸽投资股份的市值是多少
[map, video]	从南京到亳州怎么走 金瓶梅
[chat, app]	跳的人我想要了吗 开启通讯录
[chat, app]	丁效是谁 打开酷狗并随机播放
[chat, train]	怀化吃什么 查一下苏州到洛阳的火车票
[video]	看东方 青春期撞上更年期二
[epg, schedule]	中央电视台少儿频道大耳朵图图 取消明天的闹钟
[map, cookbook]	美国大使馆在哪 怎么做饭好吃？
[datetime, cookbook]	时间现在的 炒鸡蛋，需要，哪些材料？
[epg, chat]	安徽电视台12月18号晚上10:10的电视剧 你平时吃什么
[flight, music]	查一下济南到成都的航班 我想听春天里这首歌
[bus, chat]	九江到景德镇的汽车。 卧槽一个答非所问的AI有什么用
[telephone, tvchannel]	听电话 我要看下中央六套
[novel, app]	我要看现代重生小说 国际象棋开局
[chat, app]	什么零食 打开应用程序钱包
[chat]	那我要怎么做 还是笨笨的
[map, contacts]	查询北京到上海的路线 把李文鼎的号码发给谢服全
[chat, weather]	笨笨我不喜欢你这个名字你可以给自己换一个么 大连天气
[health, chat]	甲亢。 谁在买扇子
[map, message]	到太湖怎么走 给姐姐发短信我今天晚上晚点回去你就别等我吃饭
[cookbook, health]	四川美食。 失眠怎么办呀
[poetry, flight]	李白的将进酒。 帮我订一张杭州到上海的机票
[cookbook, health]	那做红烧鱼需要哪些材料啊？ 失眠怎么办呀
[cookbook, chat]	又热炒鸡蛋怎么做？ 还能聊点啥呢
[chat, tvchannel]	为啥要刷盘子呢 高清央视综艺
[message, chat]	我现在要发一条信息 什么新闻呢
[cookbook, video]	啊，青椒炒蛋。 智取威虎山
[message, tvchannel]	给刘志发短信 高清深圳台
[chat, epg]	有什么用呢 可不中央五套明天的节目单
[map, chat]	从我这里到科大讯飞走高速路线 你是詹黑吗
[video, chat]	钢铁侠三 笨笨真的会聊天吗
[tvchannel, chat]	打开浦口新闻综合频道 然后你转了么
[chat, tvchannel]	我咋不知道这事儿呢啊明星啊之心知肚明啥意思 高清深圳台
[video, weather]	查看电视录像 几个田今天天气怎么样
[video, train]	刘三姐 查询柳州到昆明的列车
[riddle, health]	我要猜字谜不笨有答案。 湿疹怎么处理？
[tvchannel, health]	c c t v法语频道 失眠怎么办呀
[chat, cookbook]	刚才你说你叫啥来着 西兰花怎么做？
[epg, chat]	中央四频道火箭兜风 小是什么
[chat, video]	你孝顺父母吗 中国新声代
[cookbook, video]	凉拌海蜇怎么做好吃？ 电影私人定制
[bus, translation]	查一下运城到临汾的汽车。 西红柿用英语怎么说
[bus, schedule]	上海到合肥怎么坐汽车？ 设置提醒。
[music, video]	随便给我放几首歌 我想看珍珠港
[chat, website]	你也是什么 上美空网
[cookbook, app]	做红烧鱼的步骤。 打开uc浏览器
[cookbook]	草莓芒果西米露。 扁豆豆角怎么烧？
[cookbook, epg]	葱爆羊肉的做法。 昨天晚上湖南卫视演什么
[video, chat]	我想看变形金刚哦 讲个笑话吗
[app, chat]	我把相机打开 你为啥叫笨笨
[music, lottery]	我想听伤感歌曲 搜索大乐透的中奖号码
[contacts, cookbook]	添加一条通讯录姓名葛勇手机号码189571642496 凉拌菜
[riddle, stock]	来个字谜吗？ 查询濮耐股份的股票
[video, stock]	爱情公约 查寻科大讯飞的股
[video, website]	查找90年代好评的武侠电影 打开苹果香港官方网站
[translation, music]	我们做爱吧用英文怎么说 给我来首好听的音乐
[website, chat]	进你的官网 有体育方面的吗
[app, tvchannel]	打开uc浏览器v八 我想看高尔夫网球频道
[video, chat]	中国合伙人 你来自哪个星球
[cookbook, calc]	炒鸡蛋，需要，哪些材料？ 根号3是多少
[epg, poetry]	国防军事频道2天后播捍卫者 分手时，背一首诗吧？
[message, flight]	给小阳发短信 查一下澳门到吉隆坡的飞机
[chat, music]	你有男朋友吗 随便来首刘德华的歌。
[website, train]	打开河南英东网站 广州去昆明的火车
[video, weather]	喜羊羊与灰太 今天啥天气啊
[flight, radio]	查询一下明天广州到武汉的航班 调频到fm八九八
[translation, chat]	你叫什么名字英文怎么说 你考试挂科怎么办
[stock, chat]	查一下零零零八六八的股票行情 这个没什么吧
[map, epg]	去汽车南站怎么走 湖南卫视明天播什么节目
[cookbook]	做面包的配方。 辣酸菜鱼怎么做了。
[chat, map]	你早上一般几点起床 从我这里到科大讯飞走高速路线
[video, weather]	美国热门的恐怖电影 郑州天气怎么样
[chat]	嗨吃晚饭了吗 汪进祥怎么样
[video, health]	风车第十五集 淋病怎么办
[cookbook, music]	回锅肉做法。 听时间煮雨这首歌
[cookbook, chat]	松菜鱼怎么做？ 有什么钱
[weather, cookbook]	今天啥天气啊 怎么做洋葱炒蛋？
[video, cookbook]	搜索最近的，科幻电影。 意大利面。
[chat]	为什么叫这个名字 还是想知道你能做些什么
[cookbook, tvchannel]	甜酒怎么做？ 我要看下中央六套
[chat, train]	孔宁是不是傻逼 查询柳州到昆明的列车
[chat]	啥叫换手机如换衣服啊 我国是谁
[tvchannel, cookbook]	高尔夫网球 面包的配方。
[chat]	我美么 孔宁是不是傻逼
[telephone, video]	幺三五八四四七零五零二 推理动漫
[chat, radio]	室友秀恩爱怎么办 调幅am六百二十八
[train, message]	帮我查一下赣州到南昌的火车票 发信息给老婆说我不回家吃饭了
[translation, epg]	我喜欢亚楠用英语怎么说 电视台在播什么节目
[epg, video]	什么时候有西游记呢？ 有什么新电影
[poetry, music]	蒋捷的宋词 我想听忐忑这首歌打
[chat, cookbook]	干嘛弄疯你啊😌 陈醋排骨的做法。
[epg, weather]	那中央六台明天演什么节目 今天东莞天气如何
[message, website]	把王建春的电话号码发给张学政 进你的官网
[translation, tvchannel]	晚安的英语 我要看中央五台
[stock, music]	搜索泰亚股份股票 我想听首歌
[video]	最美的时光 我想看董浩配音的动漫
[chat, cookbook]	你喜欢听什么歌曲 烤肉串。
[message, riddle]	给刘西发短信 来一个字谜，二。
[cookbook, chat]	青鱼的做法。 你爸爸好吗
[epg, chat]	现在最好看的电影。 男人好吗
[video, chat]	打开节目搜索 你是不是爱上别人了
[cookbook]	a排骨怎么做好吃？ 嗯，知道红烧肉怎么做？
[schedule, video]	什么时候和张三去步行街 我想看张艺谋导演的电影
[map, cookbook]	导航去科大讯飞 做南瓜饭
[epg, translation]	安安昨天11:07的风华国乐 我不明白用英文怎么讲
[train, chat]	宿州到北京的火车有哪些 呲牙你不是说你好聪明吗
[cookbook, video]	炖肉 满秋
[chat, poetry]	不这样称呼你怎么样呢 唐诗登高。
[weather, flight]	长春的天气 查寻合肥到北京的航班
[app, music]	国际象棋开局 我要点一首小星星
[chat, telephone]	我如果说一句什么你才不会回复 拨打张月华的电话
[video, poetry]	最近有什么科幻电影？ 李清照的诗。
[radio, weather]	帮我调频92.4中国国际广播电台行不行？ 保定天气
[chat, music]	你啥时候出现的 给我放首歌
[riddle, chat]	给我搜索脑筋急转弯。 你咋知道
[riddle, chat]	来个脑筋急转弯儿。 你是不是呆萌啊
[epg, chat]	周二电影。 你为啥叫笨笨
[chat, map]	在哪里出门右转 从这里到市中心怎么走
[tvchannel, contacts]	央视1高清 新建联系人18622625490
[chat, cookbook]	你知道我几岁 红烧鱼块。
[flight, poetry]	明天珠海到青岛的航班 来一首唐诗吗？
[health, video]	胆结石怎样治疗。 给我找最新的盗梦空间
[website, epg]	打开科大讯飞网站 看看今天有什么好看的节目？
[health, train]	颈椎病用什么药物治疗？ 贵溪至泉州的火车票
[app, telephone]	上QQ我 呼叫零二二二九一一四八六
[translation, tvchannel]	我不明白用英文怎么讲 央视综合高清
[stock, contacts]	查寻上海能源的股票 黄狼。
[news, flight]	播新闻，湖南新闻。 到北京的飞机。
[weather, telephone]	株洲的天气怎么样 给金华打电话
[poetry, map]	搜索兰陵王。 松江钢材城在哪里
[weather, epg]	罗山天气 今晚安徽卫视有什么节目
[map]	我想到科大讯飞怎么走 从连云港到北京该怎么走
[chat, poetry]	你是微软小冰吗 搜索古诗绝句。
[video]	苍狼 我想看变形金刚哦
[tvchannel, riddle]	江苏教育台 再来一个脑筋急转弯
[cookbook, translation]	凉拌菜 你叫什么名字英文怎么说
[video, contacts]	我想要看很火的电影 新建联系人姓名张三号码一二三四五六七八
[translation, epg]	今天是个好日子的英文怎么讲 今晚安徽卫视有什么节目
[chat, telephone]	你是不是看不懂啊 呼叫徐媛
[cookbook, music]	做蛋挞怎么做 来一首听你听我
[novel, weather]	我要看饶雪漫的小说左耳 好今天天气怎么样
[news, music]	最近有什么热门新闻了。 王菲传奇。
[email, calc]	发邮件给莹莹说我好困我想睡觉 3的平方除以2的立方的商减去4的平方根的立方
[epg, telephone]	今天湖南卫视的电子节目单 幺三零二三八四七三四二
[chat, video]	必须你说一句我说一句吗 查一下最近有什么电影？
[video, translation]	福尔摩斯 我正在睡觉用英语怎么说
[bus, message]	从杭州到黄山的汽车。 给严巧发短信
[poetry]	背一首，纳兰容若的词。 锄禾日当午，下面一句是什么？
[email, music]	替我查看新邮件 我要听劝化这首歌
[contacts, video]	把侨天慧的号码发给副卡 我想看变形金刚三
[poetry, chat]	背首绝句的。 唉你叫什么名字
[email, tvchannel]	给我打开mail 女性时尚
[calc, train]	3的平方除以2的立方的商等于多少 查看滁州到南京的火车票
